url,sidewalk,Litter,pothole,clear markings,not clear markings ,no markings ,cracks,side of road markings ,glitches,sidewalk crack ,road?,
3,1,1,1,2,2,1,1,1,2,1,1,
10,2,2,2,2,2,1,2,1,1,2,1,
16,1,2,2,1,2,2,2,1,1,1,1,
29,2,2,2,2,2,1,2,2,2,2,1,
54,2,2,2,2,2,1,2,2,2,2,1,
70,2,2,2,2,2,1,2,2,1,2,2,
78,1,2,2,2,2,1,2,2,2,2,1,
86,2,2,2,2,2,1,2,2,1,2,1,
102,1,1,2,2,2,1,2,2,2,2,2,
116,2,2,2,2,2,1,2,2,2,2,1,
118,2,2,2,2,2,1,2,2,2,2,1,
130,2,2,2,1,2,2,2,1,2,2,1,
136,2,1,2,2,2,1,2,2,2,2,1,
139,2,2,2,2,2,1,2,2,2,2,1,
149,2,2,2,2,2,1,2,2,1,2,1,
156,1,1,2,2,2,1,2,1,2,2,1,
168,1,2,2,2,2,1,2,2,1,2,1,
204,1,2,2,2,2,1,2,1,2,2,1,
216,1,1,2,1,2,2,2,1,2,2,1,
223,2,1,2,2,2,1,2,1,1,2,1,
233,1,2,2,2,1,2,2,1,1,2,1,
243,1,2,2,2,1,2,2,2,2,2,1,
260,2,2,2,1,2,2,2,1,2,2,1,
266,2,1,2,2,2,1,2,2,2,2,1,"this has a sidewalk, but it is not paved"
291,2,2,2,2,1,2,2,1,1,2,1,
292,1,2,2,2,2,1,2,1,2,2,1,
297,1,1,2,2,2,1,2,1,1,2,1,
304,2,2,2,2,2,1,2,2,1,2,1,
331,2,2,2,2,2,1,1,2,1,2,1,
354,1,2,2,2,1,2,2,1,2,2,1,
375,2,2,1,2,2,1,2,2,2,2,1,
380,1,2,2,1,2,2,2,1,2,2,1,
382,1,2,2,2,2,1,2,1,1,1,1,
383,2,2,2,2,1,2,2,1,1,2,1,
385,2,2,2,1,2,2,2,1,2,2,1,"this has a sidewalk, but it is not paved"
386,2,1,2,2,2,1,2,1,1,2,1,"this has a sidewalk, but it is not paved"
415,1,2,2,2,2,1,2,1,2,2,1,
433,1,2,2,1,2,2,2,2,1,2,1,
434,2,2,2,2,2,1,2,1,2,2,1,
450,1,2,2,2,1,2,2,1,1,2,1,
468,2,2,2,2,2,1,2,1,1,2,1,
469,2,1,2,2,2,1,2,1,1,2,1,
470,2,2,2,2,2,1,2,2,1,2,1,
475,2,2,2,1,2,2,2,1,2,2,1,
477,2,1,2,2,2,1,2,1,2,2,1,
481,1,1,2,2,2,1,2,1,2,2,1,
499,1,2,2,1,2,2,2,1,1,2,1,
507,2,2,2,2,2,1,2,1,2,2,1,
517,2,1,2,2,2,1,2,2,2,2,1,
529,1,1,2,2,2,1,1,2,2,1,1,
544,2,2,2,2,2,1,2,2,2,2,1,
547,2,2,1,2,2,1,2,1,2,2,1,
565,2,1,2,2,2,1,2,2,2,2,2,
579,1,2,2,2,2,1,2,1,2,2,1,
585,1,2,2,2,2,1,2,1,1,2,1,
608,2,1,1,2,2,1,2,2,1,2,1,
621,1,2,2,2,2,1,2,1,2,2,1,
623,1,2,2,2,1,2,2,1,2,2,1,
635,2,2,2,2,2,1,2,2,2,2,1,
638,2,2,2,2,2,1,1,2,2,2,1,
640,2,2,2,2,2,1,2,2,2,2,1,
642,2,2,2,2,2,1,2,2,2,2,1,
662,2,1,1,2,2,1,2,2,2,2,1,
682,2,2,2,2,2,1,2,1,1,2,1,
683,2,2,2,2,2,1,2,1,2,2,1,
686,2,2,2,2,2,1,2,2,2,2,1,
692,2,2,1,2,2,1,2,2,1,2,1,
693,2,2,2,2,2,1,1,2,2,2,1,
699,2,2,2,1,2,2,2,1,2,2,1,
702,2,2,2,1,2,2,1,2,1,2,1,
705,2,1,1,2,2,1,2,2,2,2,1,
706,2,1,2,2,2,1,2,2,2,2,2,
711,2,2,2,2,2,1,1,2,2,2,1,
724,2,1,1,2,2,1,1,2,2,2,1,
726,1,1,2,2,1,2,2,1,2,2,1,
731,2,2,2,2,2,1,2,2,2,2,1,
745,2,2,2,2,2,1,2,2,2,2,1,
750,2,2,2,2,2,1,2,2,2,2,1,
753,2,1,2,2,2,1,2,2,2,2,2,
771,2,2,2,2,2,1,2,2,2,2,1,
782,2,2,2,2,2,1,2,1,1,2,1,
783,1,2,1,2,1,2,1,2,2,2,1,
785,2,2,2,2,2,1,2,2,2,2,1,
796,2,2,2,2,2,1,2,2,2,1,1,
818,1,2,2,1,2,2,2,2,2,2,1,
837,2,2,2,2,2,1,2,2,2,2,1,
842,2,2,2,2,2,1,2,2,2,2,1,
848,2,1,2,2,2,1,2,2,2,2,1,
858,2,2,2,2,2,1,2,2,2,2,1,
869,1,2,2,1,2,2,2,2,2,2,1,
903,1,1,2,2,2,1,2,1,1,2,1,
904,1,2,2,2,2,1,2,2,2,2,1,
905,2,2,2,2,2,1,2,2,2,2,1,
909,2,2,2,2,2,1,2,2,1,2,1,
939,2,2,2,2,2,1,2,2,2,2,1,
948,2,1,2,2,2,1,2,2,2,2,2,
957,2,2,2,2,2,1,2,2,2,2,1,
978,1,2,2,2,2,1,2,1,2,2,1,
982,1,2,2,2,2,1,2,1,1,1,1,
990,2,1,2,2,2,1,2,2,2,2,2,
