HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.segment_id,Input.osm_id,Input.osm_name,Input.osm_type,Input.start_lat,Input.start_long,Input.end_lat,Input.end_long,Input.gsv_metadata,Input.copyright,Input.date,Input.location,Input.pano_id,Input.status,Input.url_img0,Input.url_img90,Input.url_img180,Input.url_img270,Answer.Do you see any of the following?,Answer.Does the road have any...?,Answer.If there are any road markings are they clear?,Approve,Reject
3JMNNNO3B19Z35XNGP0P1A2MCCMW2C,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:10 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:10 PDT 2018,,,3YT88D1N093ZF7WJLD0TKT83Q6HK3V,A27SMEOPKV84VI,Approved,Wed Jun 06 15:27:18 PDT 2018,Wed Jun 06 15:28:38 PDT 2018,Sat Jun 09 15:28:38 PDT 2018,2018-06-09 22:29:15 UTC,,,80,100% (246/246),100% (246/246),100% (246/246),0,3,9017482,ถนนพระราม 9,primary,13.75462037,100.5834172,13.7528503,100.5894032,"{u'date': u'2016-10', u'status': u'OK', u'location': {u'lat': 13.7545959906, u'lng': 100.583419397}, u'copyright': u'© 2017 Google', u'pano_id': u'hkJhZk0eDmaS1fCNWwgksA'}",© 2017 Google,2016-10,"{u'lat': 13.7545959906, u'lng': 100.583419397}",hkJhZk0eDmaS1fCNWwgksA,OK,bangkok/img0_0000.jpg,bangkok/img90_0000.jpg,bangkok/img180_0000.jpg,bangkok/img270_0000.jpg,A paved sidewalk,Cracks,Yes,,
3D3B8GE892WKJGLLPC19J324PLU9PN,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:25 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:25 PDT 2018,,,3907X2AHF1AB5GXGU5RWX0PAE2JP2M,AJWES6SFIP3AT,Approved,Wed Jun 06 15:18:30 PDT 2018,Wed Jun 06 15:22:29 PDT 2018,Sat Jun 09 15:22:29 PDT 2018,2018-06-09 22:23:14 UTC,,,239,52% (134/260),52% (134/260),52% (134/260),200,1342,113135397,ถนนอ่อนนุช,secondary,13.70910097,100.6159237,13.70918936,100.6205059,"{u'date': u'2016-09', u'status': u'OK', u'location': {u'lat': 13.7091064743, u'lng': 100.615913537}, u'copyright': u'© 2017 Google', u'pano_id': u'YdPOcDqu3e-eU4gjpTFUGA'}",© 2017 Google,2016-09,"{u'lat': 13.7091064743, u'lng': 100.615913537}",YdPOcDqu3e-eU4gjpTFUGA,OK,bangkok/img0_0200.jpg,bangkok/img90_0200.jpg,bangkok/img180_0200.jpg,bangkok/img270_0200.jpg,A paved sidewalk,,Yes,,
351S7I5UG919M7MHV9FU48BCLB4JNV,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:10 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:10 PDT 2018,,,3BXQMRHWK03E4P95L99AMFQ7SOUMU8,AOAZMLP27GD81,Approved,Wed Jun 06 15:23:47 PDT 2018,Wed Jun 06 15:30:22 PDT 2018,Sat Jun 09 15:30:22 PDT 2018,2018-06-09 22:31:14 UTC,,,395,100% (84/84),100% (84/84),100% (84/84),1,4,9019480,ถนนพระรามที่ 1,primary,13.7444998,100.5401384,13.7452563,100.536139,"{u'date': u'2016-10', u'status': u'OK', u'location': {u'lat': 13.7445178, u'lng': 100.5401475}, u'copyright': u'© 2017 Google', u'pano_id': u'En3YxE8_3EUGPqlwuG1J5g'}",© 2017 Google,2016-10,"{u'lat': 13.7445178, u'lng': 100.5401475}",En3YxE8_3EUGPqlwuG1J5g,OK,bangkok/img0_0001.jpg,bangkok/img90_0001.jpg,bangkok/img180_0001.jpg,bangkok/img270_0001.jpg,,,Yes,,
3FULMHZ7OU2D17IWG1DQLRXTYO54MQ,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:25 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:25 PDT 2018,,,38F71OA9GU1PL7CFQKEB0FP4I1MFM9,A14I3K8UN3612X,Approved,Wed Jun 06 15:52:16 PDT 2018,Wed Jun 06 15:52:27 PDT 2018,Sat Jun 09 15:52:27 PDT 2018,2018-06-09 22:53:14 UTC,,,11,100% (275/275),100% (275/275),100% (275/275),201,1356,113514056,ทางรถไฟสายเก่าปา,tertiary,13.6825412,100.5913449,13.682151,100.5913479,"{u'date': u'2011-12', u'status': u'OK', u'location': {u'lat': 13.682519432, u'lng': 100.591379866}, u'copyright': u'© 2017 Google', u'pano_id': u'YM6mm8Ei3B02o_L2uw7d7w'}",© 2017 Google,2011-12,"{u'lat': 13.682519432, u'lng': 100.591379866}",YM6mm8Ei3B02o_L2uw7d7w,OK,bangkok/img0_0201.jpg,bangkok/img90_0201.jpg,bangkok/img180_0201.jpg,bangkok/img270_0201.jpg,,,No,,
3PZDSVZ3J5MJJP3WS2SQY6MT3EF4NQ,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:25 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:25 PDT 2018,,,33L7PJKHCH3KJNSCR39HC13AP5YT80,A610SH5RY1NG1,Approved,Wed Jun 06 15:24:16 PDT 2018,Wed Jun 06 15:24:27 PDT 2018,Sat Jun 09 15:24:27 PDT 2018,2018-06-09 22:25:14 UTC,,,11,100% (138/138),100% (138/138),100% (138/138),202,1357,116568860,ถนนหลวงแพ่ง,secondary,13.706854,100.8315221,13.70520061,100.8358236,"{u'date': u'2016-12', u'status': u'OK', u'location': {u'lat': 13.706879, u'lng': 100.8315512}, u'copyright': u'© 2017 Google', u'pano_id': u'WRj3aaDdNmgI_ZdWrC866A'}",© 2017 Google,2016-12,"{u'lat': 13.706879, u'lng': 100.8315512}",WRj3aaDdNmgI_ZdWrC866A,OK,bangkok/img0_0202.jpg,bangkok/img90_0202.jpg,bangkok/img180_0202.jpg,bangkok/img270_0202.jpg,A paved sidewalk,,No,,
3R868ACW4SHTCUAZQR5L2IQ53XVGZ5,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:10 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:10 PDT 2018,,,31Q0U3WYDQKFAPBKFFX1SVOKM2117C,AOAZMLP27GD81,Approved,Wed Jun 06 15:22:49 PDT 2018,Wed Jun 06 15:26:49 PDT 2018,Sat Jun 09 15:26:49 PDT 2018,2018-06-09 22:27:16 UTC,,,240,100% (84/84),100% (84/84),100% (84/84),2,6,9166124,,primary,13.7632832,100.5450839,13.7636584,100.54111,"{u'date': u'2012-03', u'status': u'OK', u'location': {u'lat': 13.7632598, u'lng': 100.5450555}, u'copyright': u'© 2017 Google', u'pano_id': u'GVvqGaeRWckbVMhhc0DdiA'}",© 2017 Google,2012-03,"{u'lat': 13.7632598, u'lng': 100.5450555}",GVvqGaeRWckbVMhhc0DdiA,OK,bangkok/img0_0002.jpg,bangkok/img90_0002.jpg,bangkok/img180_0002.jpg,bangkok/img270_0002.jpg,A paved sidewalk,,Yes,,
3DQYSJDTYLG6NLETJERC5UPIIHJEXQ,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:25 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:25 PDT 2018,,,3Z4AIRP3C7I9P4HBXS1ZMU18OVH1X8,A14I3K8UN3612X,Approved,Wed Jun 06 15:23:31 PDT 2018,Wed Jun 06 15:26:12 PDT 2018,Sat Jun 09 15:26:12 PDT 2018,2018-06-09 22:26:17 UTC,,,161,100% (275/275),100% (275/275),100% (275/275),203,1362,116569489,ถนนหลวงแพ่ง,secondary,13.707052,100.8309958,13.706854,100.8315221,"{u'date': u'2012-01', u'status': u'OK', u'location': {u'lat': 13.7070878, u'lng': 100.8309977}, u'copyright': u'© 2017 Google', u'pano_id': u'3UzyMnMY8yNgWDO4FLmIVw'}",© 2017 Google,2012-01,"{u'lat': 13.7070878, u'lng': 100.8309977}",3UzyMnMY8yNgWDO4FLmIVw,OK,bangkok/img0_0203.jpg,bangkok/img90_0203.jpg,bangkok/img180_0203.jpg,bangkok/img270_0203.jpg,A paved sidewalk,,Yes,,
3FCO4VKOZ4IC868211NEBVCUGO3E7U,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:10 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:10 PDT 2018,,,3NPI0JQDAPA5PFRTDKBSYNY0EFXPTF,AJWES6SFIP3AT,Approved,Wed Jun 06 15:21:29 PDT 2018,Wed Jun 06 15:23:27 PDT 2018,Sat Jun 09 15:23:27 PDT 2018,2018-06-09 22:24:14 UTC,,,118,52% (134/260),52% (134/260),52% (134/260),3,17,23609995,ถนนเจริญกรุง,tertiary,13.7474312,100.4942607,13.747265,100.4961042,"{u'date': u'2016-08', u'status': u'OK', u'location': {u'lat': 13.7474099359, u'lng': 100.494222606}, u'copyright': u'© 2017 Google', u'pano_id': u'hvz33a_k3sFzDF4fP5SQzQ'}",© 2017 Google,2016-08,"{u'lat': 13.7474099359, u'lng': 100.494222606}",hvz33a_k3sFzDF4fP5SQzQ,OK,bangkok/img0_0003.jpg,bangkok/img90_0003.jpg,bangkok/img180_0003.jpg,bangkok/img270_0003.jpg,,,Yes,,
37VUR2VJ6AUJ0M9MGU0AKXLESQRC13,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:25 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:25 PDT 2018,,,3CPLWGV3MP4M2F62ZZTJ3YSTKTUN9I,A14I3K8UN3612X,Approved,Wed Jun 06 15:24:05 PDT 2018,Wed Jun 06 15:26:54 PDT 2018,Sat Jun 09 15:26:54 PDT 2018,2018-06-09 22:27:16 UTC,,,169,100% (275/275),100% (275/275),100% (275/275),204,1372,116847248,ถนนฉลองกรุง,tertiary,13.7304713,100.7833331,13.7340448,100.7859319,"{u'date': u'2016-07', u'status': u'OK', u'location': {u'lat': 13.7304401447, u'lng': 100.783338877}, u'copyright': u'© 2017 Google', u'pano_id': u'txRm6Smh0y1ctdLt4DnEgg'}",© 2017 Google,2016-07,"{u'lat': 13.7304401447, u'lng': 100.783338877}",txRm6Smh0y1ctdLt4DnEgg,OK,bangkok/img0_0204.jpg,bangkok/img90_0204.jpg,bangkok/img180_0204.jpg,bangkok/img270_0204.jpg,,Cracks,Yes,,
3WA2XVDZEMMT46UXIRIM5HCYLDJE6V,35EE6WR8LG7XDWM9J5XGORMSQW571C,3 questions on condition of the road in the image,3 simple yes/no and checkbox questions per image,"image, tag, picture, tagging, photo, multiple choice, yes/no, checkbox",$0.05 ,Wed Jun 06 15:16:10 PDT 2018,1,BatchId:3259890;OriginalHitTemplateId:862366346;,600,259200,Sat Jun 09 15:16:10 PDT 2018,,,37U1UTWH9WR738FKNE4MCM2S1KZR8J,AJWES6SFIP3AT,Approved,Wed Jun 06 15:18:28 PDT 2018,Wed Jun 06 15:22:18 PDT 2018,Sat Jun 09 15:22:18 PDT 2018,2018-06-09 22:22:20 UTC,,,230,52% (134/260),52% (134/260),52% (134/260),4,23,23610163,,tertiary,13.7428366,100.4948403,13.7428418,100.4949093,"{u'date': u'2014-09', u'status': u'OK', u'location': {u'lat': 13.7428181, u'lng': 100.4948408}, u'copyright': u'© 2017 Google', u'pano_id': u'ZJkdEOQ5rMYPrSrNzHZPHg'}",© 2017 Google,2014-09,"{u'lat': 13.7428181, u'lng': 100.4948408}",ZJkdEOQ5rMYPrSrNzHZPHg,OK,bangkok/img0_0004.jpg,bangkok/img90_0004.jpg,bangkok/img180_0004.jpg,bangkok/img270_0004.jpg,,Cracks,Yes,,
